date,country,cases,deaths,recovered,cases_daily,deaths_daily,temperature (degC),urban_temperature (degC),wind_speed (m/s),humidex (degC),soil_temperature_level_1 (degC),wind_speed (m/s).1,wind_direction (deg),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),surface_direct_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
2020-01-22,Brazil,0,0,0,0,0,24.575000000000003,28.387083333333326,2.424166666666667,34.57,24.99000000000001,2.424166666666667,319.1729166666667,178.29166666666666,414.0833333333333,86.13916666666667,113.75,92.41666666666667,0.8999999999999998,96689.55583333336,0.9954166666666667,0.4041666666666666,0.0
2020-01-23,Brazil,0,0,0,0,0,23.645416666666666,26.910416666666674,2.3337499999999998,33.53375,24.582500000000007,2.3337499999999998,315.46624999999995,135.54166666666666,418.2916666666667,41.46500000000001,53.916666666666664,94.33333333333333,0.9387499999999999,96699.93208333332,0.9979166666666668,0.9658333333333332,0.0
2020-01-24,Brazil,0,0,0,0,0,24.30125,26.530833333333334,2.2925,34.37291666666666,24.599166666666672,2.2925,240.3829166666667,144.79166666666666,415.3333333333333,45.35750000000001,50.458333333333336,99.79166666666667,0.9166666666666664,96735.005,0.9979166666666668,0.7304166666666664,0.0
2020-01-25,Brazil,0,0,0,0,0,24.56833333333334,27.28375,1.7645833333333334,34.76541666666667,25.16416666666667,1.7645833333333334,204.8425,191.16666666666666,416.875,86.08666666666666,132.91666666666666,105.20833333333333,0.9091666666666667,96838.28083333334,0.9958333333333332,0.9883333333333333,0.0
2020-01-26,Brazil,0,0,0,0,0,25.40625,28.922499999999996,1.3204166666666668,35.50625,25.69666666666666,1.3204166666666668,260.3504166666666,271.125,416.0416666666667,184.47291666666672,238.33333333333334,86.95833333333333,0.8641666666666667,96859.04624999997,0.9408333333333334,0.4300000000000001,0.0
2020-01-27,Brazil,0,0,0,0,0,23.69125,27.8625,1.8083333333333333,33.47375,24.561249999999998,1.8083333333333333,43.43041666666667,137.625,412.625,31.350833333333338,50.916666666666664,106.54166666666667,0.9304166666666666,96916.87791666666,0.98375,0.8516666666666666,0.0
2020-01-28,Brazil,0,0,0,0,0,23.303750000000004,25.82041666666667,1.54375,32.92791666666667,23.66583333333334,1.54375,51.21416666666667,79.58333333333333,409.7083333333333,9.320000000000002,14.5,70.45833333333333,0.9441666666666665,96961.34250000001,0.9883333333333333,0.4579166666666667,0.0
2020-01-29,Brazil,0,0,0,0,0,23.889999999999997,25.95,1.2358333333333336,33.31125000000001,23.974999999999998,1.2358333333333336,104.47458333333334,167.08333333333334,410.0416666666667,68.525,116.0,98.75,0.9016666666666667,97016.53083333334,0.9854166666666666,0.4529166666666667,0.0
2020-01-30,Brazil,0,0,0,0,0,25.155000000000005,27.81791666666665,1.5133333333333336,34.75958333333333,24.78333333333333,1.5133333333333336,155.64916666666667,248.79166666666666,408.2083333333333,161.09,231.04166666666666,87.91666666666667,0.8529166666666668,97000.05791666666,0.9358333333333332,0.0675,0.0
2020-01-31,Brazil,0,0,0,0,0,25.4375,29.579166666666666,1.1833333333333333,35.707499999999996,25.33916666666667,1.1833333333333333,162.65624999999997,277.4166666666667,413.75,221.7704166666667,296.7916666666667,55.75,0.8716666666666666,96975.56291666666,0.5437500000000001,0.11499999999999999,0.0
2020-02-01,Brazil,0,0,0,0,0,26.394166666666663,30.65375,1.5266666666666666,35.159166666666664,25.894166666666663,1.5266666666666666,133.5579166666667,287.4166666666667,400.6666666666667,232.66791666666668,338.8333333333333,54.958333333333336,0.7687500000000002,96930.77999999998,0.37291666666666673,0.0025,0.0
2020-02-02,Brazil,0,0,0,0,0,25.21833333333333,30.037499999999998,1.2212500000000002,34.72083333333333,25.490000000000006,1.2212500000000002,159.78708333333336,241.91666666666666,408.875,169.80291666666668,237.58333333333334,72.375,0.8454166666666666,96910.38791666667,0.7433333333333335,0.1975,0.0
2020-02-03,Brazil,0,0,0,0,0,24.089166666666667,29.170416666666668,1.4170833333333333,33.24166666666667,24.990416666666672,1.4170833333333333,127.54083333333334,237.58333333333334,407.375,155.1075,200.83333333333334,82.70833333333333,0.8775000000000001,96932.16708333332,0.771666666666667,0.18791666666666662,0.0
2020-02-04,Brazil,0,0,0,0,0,23.855833333333326,28.209583333333338,1.613333333333333,32.76291666666666,24.277083333333337,1.613333333333333,203.34791666666663,208.83333333333334,403.7083333333333,124.95791666666668,179.20833333333334,84.125,0.8737500000000002,96989.00041666668,0.9079166666666666,0.18125,0.0
2020-02-05,Brazil,0,0,0,0,0,23.69791666666666,27.97708333333334,1.4749999999999999,32.62333333333333,24.628749999999997,1.4749999999999999,221.8641666666667,233.91666666666666,406.25,148.16125000000002,199.58333333333334,85.95833333333333,0.8849999999999999,96981.23249999998,0.8633333333333332,0.22291666666666665,0.0
