,temperature (degC),urban_temperature (degC),wind_speed (m/s),humidex (degC),soil_temperature_level_1 (degC),wind_speed (m/s),wind_direction (deg),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),surface_direct_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
2020-01-01 00:00:00,22.33,24.7,1.98,31.54,23.75,1.98,9.33,0,411,-0.04,0.0,0.0,0.97,96898.66,0.98,0.04,-0.0
2020-01-01 01:00:00,22.13,24.46,1.85,31.2,23.63,1.85,6.84,0,405,-0.04,0.0,0.0,0.98,96866.82,1.0,0.14,-0.0
2020-01-01 02:00:00,22.03,24.27,1.95,31.09,23.6,1.95,356.93,0,402,-0.04,0.0,0.0,0.98,96833.71,0.99,0.24,-0.0
2020-01-01 03:00:00,21.73,23.98,2.1,30.59,23.36,2.1,350.05,0,396,-0.04,0.0,0.0,0.99,96792.23,0.97,0.13,-0.0
2020-01-01 04:00:00,21.8,23.88,2.07,30.66,23.41,2.07,353.18,0,395,-0.04,0.0,0.0,0.98,96734.36,0.99,0.16,-0.0
2020-01-01 05:00:00,21.78,23.74,1.98,30.58,23.34,1.98,346.59,0,403,-0.04,0.0,0.0,0.98,96737.12,0.99,0.01,-0.0
2020-01-01 06:00:00,21.82,23.64,1.82,30.63,23.35,1.82,340.47,0,397,-0.04,0.0,0.0,0.98,96789.8,0.99,0.0,-0.0
2020-01-01 07:00:00,22.28,23.79,1.53,31.19,23.16,1.53,358.78,35,395,12.28,178.0,24.0,0.96,96815.24,0.96,0.02,-0.0
2020-01-01 08:00:00,23.67,24.55,1.34,32.84,23.73,1.34,357.46,183,400,80.41,264.0,103.0,0.89,96892.41,0.92,0.02,-0.0
2020-01-01 09:00:00,24.89,25.39,1.84,34.78,24.4,1.84,346.15,338,408,168.48,322.0,170.0,0.87,96948.82,0.85,0.1,-0.0
2020-01-01 10:00:00,25.76,26.19,1.7,36.15,24.91,1.7,341.31,469,410,285.4,402.0,184.0,0.85,96978.71,0.88,0.28,-0.0
2020-01-01 11:00:00,26.74,27.16,1.56,35.92,25.71,1.56,337.07,576,428,275.26,322.0,301.0,0.75,96955.06,0.92,1.4,-0.0
2020-01-01 12:00:00,25.8,27.09,1.61,35.3,25.99,1.61,342.2,488,432,224.26,237.0,265.0,0.8,96877.4,0.98,3.28,-0.0
2020-01-01 13:00:00,26.26,27.69,1.55,36.24,26.03,1.55,339.7,500,422,194.7,200.0,306.0,0.81,96795.87,0.93,3.09,-0.0
2020-01-01 14:00:00,27.33,28.64,1.35,37.95,26.36,1.35,346.53,562,419,237.85,252.0,324.0,0.79,96672.31,0.87,0.24,-0.0
2020-01-01 15:00:00,28.14,29.44,1.51,38.6,26.79,1.51,314.17,545,416,243.4,286.0,302.0,0.75,96611.36,0.94,0.22,-0.0
2020-01-01 16:00:00,27.68,29.44,1.53,38.04,26.75,1.53,301.11,388,414,177.53,251.0,211.0,0.76,96530.96,0.98,0.51,-0.0
2020-01-01 17:00:00,26.94,29.16,0.69,37.4,26.22,0.69,297.47,248,417,101.61,196.0,147.0,0.8,96501.09,1.0,0.03,-0.0
2020-01-01 18:00:00,25.6,28.47,1.14,35.78,25.58,1.14,302.13,145,411,50.21,168.0,96.0,0.85,96503.52,0.99,0.02,-0.0
2020-01-01 19:00:00,24.58,27.83,1.14,34.89,25.32,1.14,306.34,33,408,10.1,157.0,23.0,0.91,96570.37,0.98,0.07,-0.0
2020-01-01 20:00:00,24.09,27.4,1.45,34.06,24.94,1.45,327.66,0,410,-0.04,0.0,0.0,0.92,96638.03,0.97,0.05,-0.0
2020-01-01 21:00:00,23.67,27.02,1.39,33.42,24.53,1.39,335.21,0,407,-0.04,0.0,0.0,0.93,96781.7,0.97,0.04,-0.0
2020-01-01 22:00:00,23.35,26.67,1.67,32.9,24.15,1.67,332.64,0,405,-0.04,0.0,0.0,0.94,96836.31,0.97,0.0,-0.0
2020-01-01 23:00:00,22.93,26.29,1.78,32.21,23.69,1.78,322.92,0,406,-0.04,0.0,0.0,0.94,96841.99,0.95,0.0,-0.0
2020-01-02 00:00:00,22.34,25.81,1.84,31.27,23.16,1.84,313.84,0,404,-0.04,0.0,0.0,0.95,96858.7,0.99,0.0,-0.0
2020-01-02 01:00:00,22.31,25.61,1.72,31.26,23.17,1.72,305.45,0,402,-0.04,0.0,0.0,0.96,96828.85,1.0,0.06,-0.0
2020-01-02 02:00:00,22.03,25.3,1.55,30.83,22.95,1.55,306.08,0,400,-0.04,0.0,0.0,0.96,96808.51,1.0,0.0,-0.0
2020-01-02 03:00:00,21.76,24.98,1.56,30.44,22.84,1.56,309.9,0,391,-0.04,0.0,0.0,0.97,96746.0,0.98,0.0,-0.0
2020-01-02 04:00:00,21.58,24.73,1.45,30.11,22.71,1.45,299.66,0,403,-0.04,0.0,0.0,0.97,96719.67,1.0,0.07,-0.0
2020-01-02 05:00:00,21.9,24.74,1.35,30.71,22.78,1.35,302.24,0,398,-0.04,0.0,0.0,0.97,96757.66,0.99,0.02,-0.0
2020-01-02 06:00:00,21.7,24.5,1.22,30.43,22.68,1.22,293.4,0,402,-0.04,0.0,0.0,0.98,96765.59,1.0,0.01,-0.0
2020-01-02 07:00:00,22.86,24.95,1.4,32.03,23.41,1.4,278.05,26,399,6.63,99.0,20.0,0.94,96842.2,1.0,0.01,-0.0
2020-01-02 08:00:00,23.42,25.28,1.12,32.9,23.09,1.12,290.12,190,396,96.84,320.0,93.0,0.93,96893.97,0.98,0.01,-0.0
2020-01-02 09:00:00,24.71,26.18,1.33,34.56,23.58,1.33,306.25,407,400,277.49,533.0,130.0,0.88,96942.34,0.99,0.03,-0.0
2020-01-02 10:00:00,25.74,27.07,1.99,36.31,24.31,1.99,312.11,514,415,310.02,437.0,205.0,0.86,97029.03,1.0,0.16,-0.0
2020-01-02 11:00:00,26.23,27.69,2.24,36.72,25.11,2.24,316.61,511,421,234.21,274.0,277.0,0.84,97058.9,1.0,0.3,-0.0
2020-01-02 12:00:00,26.83,28.39,2.06,37.72,26.05,2.06,317.34,528,434,150.34,159.0,378.0,0.83,97010.13,1.0,1.79,-0.0
2020-01-02 13:00:00,26.99,28.78,2.37,38.03,26.25,2.37,324.83,448,432,98.32,101.0,350.0,0.83,96806.72,0.99,0.95,-0.0
2020-01-02 14:00:00,26.7,29.06,1.87,37.74,26.64,1.87,320.61,592,423,261.68,277.0,331.0,0.84,96822.16,0.94,0.65,-0.0
