,temperature (degC),urban_temperature (degC),wind_speed (m/s),humidex (degC),soil_temperature_level_1 (degC),wind_speed (m/s),wind_direction (deg),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),surface_direct_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
2020-01-01 00:00:00,13.31,14.69,2.36,15.55,14.67,2.36,110.85,0,358,-0.04,0,0,0.92,93426.94,0.95,0.0,0.0
2020-01-01 01:00:00,12.42,14.18,2.3,14.59,14.16,2.3,112.77,0,369,-0.04,0,0,0.96,93413.95,0.8,0.01,0.0
2020-01-01 02:00:00,12.64,14.2,2.28,14.87,14.22,2.28,113.34,0,362,-0.04,0,0,0.95,93362.82,0.77,0.0,0.0
2020-01-01 03:00:00,12.99,14.31,2.47,15.28,14.07,2.47,109.9,0,372,-0.04,0,0,0.94,93358.31,0.81,0.08,0.0
2020-01-01 04:00:00,12.68,14.07,2.64,14.88,14.03,2.64,112.9,0,354,-0.04,0,0,0.95,93335.75,0.75,0.12,0.0
2020-01-01 05:00:00,13.44,14.37,2.73,15.67,14.54,2.73,115.25,0,364,-0.04,0,0,0.91,93371.47,0.87,0.25,-0.0
2020-01-01 06:00:00,13.44,14.31,2.71,15.53,14.54,2.71,114.62,0,363,-0.04,0,0,0.89,93409.26,0.96,0.13,-0.0
2020-01-01 07:00:00,13.42,14.26,2.73,15.52,14.35,2.73,116.86,7,367,0.86,0,6,0.89,93498.15,0.91,0.18,-0.0
2020-01-01 08:00:00,13.11,14.11,2.79,15.24,13.58,2.79,120.79,59,372,14.18,65,45,0.92,93599.74,0.81,0.23,-0.0
2020-01-01 09:00:00,12.87,14.09,2.74,14.89,12.98,2.74,124.74,155,375,43.55,107,112,0.92,93690.11,0.75,0.17,-0.0
2020-01-01 10:00:00,13.96,14.79,3.0,16.24,13.84,3.0,130.94,216,378,42.7,77,174,0.88,93702.5,0.62,0.11,-0.0
2020-01-01 11:00:00,15.87,16.04,3.04,18.52,15.45,3.04,138.64,367,371,166.35,254,201,0.82,93668.6,0.75,0.06,-0.0
2020-01-01 12:00:00,16.55,16.69,3.49,19.56,16.92,3.49,160.79,357,382,128.18,182,230,0.82,93576.44,0.99,0.01,-0.0
2020-01-01 13:00:00,18.33,17.85,3.03,22.16,18.65,3.03,166.75,315,386,101.18,146,214,0.8,93477.38,1.0,0.01,-0.0
2020-01-01 14:00:00,18.09,17.93,2.34,21.76,19.12,2.34,167.94,209,392,44.83,71,165,0.8,93428.79,0.93,0.01,-0.0
2020-01-01 15:00:00,16.79,17.43,2.32,20.72,18.15,2.32,174.48,181,393,29.22,58,153,0.89,93417.4,0.98,0.12,-0.0
2020-01-01 16:00:00,16.7,17.42,2.03,20.59,17.91,2.03,154.47,67,397,3.14,9,64,0.89,93406.51,0.98,0.22,-0.0
2020-01-01 17:00:00,16.9,17.51,1.41,20.71,17.55,1.41,137.87,16,395,0.08,0,16,0.87,93467.11,0.98,0.38,-0.0
2020-01-01 18:00:00,17.06,17.56,1.33,21.07,17.58,1.33,124.0,0,392,-0.04,0,0,0.88,93520.65,0.93,0.37,-0.0
2020-01-01 19:00:00,16.74,17.37,1.24,20.75,17.34,1.24,109.19,0,390,-0.04,0,0,0.9,93594.09,0.91,0.15,-0.0
