,temperature (degC),urban_temperature (degC),wind_speed (m/s),humidex (degC),soil_temperature_level_1 (degC),wind_speed (m/s),wind_direction (deg),surface_solar_radiation (W/m^2),surface_thermal_radiation (W/m^2),surface_direct_solar_radiation (W/m^2),direct_normal_solar_radiation (W/m^2),surface_diffuse_solar_radiation (W/m^2),relative_humidity (0-1),surface_pressure (Pa),total_cloud_cover (0-1),total_precipitation (mm of water equivalent),snowfall (mm of water equivalent)
2020-01-01 00:00:00,-2.22,-1.86,3.32,-5.86,-1.77,3.32,209.99,0,212,-0.04,0,0,0.67,95803.59,0.0,0.0,-0.0
2020-01-01 01:00:00,-2.42,-2.1,3.35,-6.04,-1.81,3.35,205.36,0,212,-0.04,0,0,0.68,95685.55,0.0,0.0,-0.0
2020-01-01 02:00:00,-3.1,-2.57,3.36,-6.73,-2.42,3.36,200.56,0,213,-0.04,0,0,0.71,95617.64,0.0,0.0,-0.0
2020-01-01 03:00:00,-3.14,-2.72,3.14,-6.67,-2.81,3.14,199.39,0,216,-0.04,0,0,0.75,95527.36,0.0,0.0,-0.0
2020-01-01 04:00:00,-3.68,-3.11,3.39,-7.17,-3.37,3.39,187.62,0,218,-0.04,0,0,0.8,95370.23,0.0,0.0,-0.0
2020-01-01 05:00:00,-3.76,-3.28,3.83,-7.17,-3.44,3.83,188.2,0,220,-0.04,0,0,0.83,95306.89,0.0,0.0,-0.0
2020-01-01 06:00:00,-3.4,-3.21,3.7,-6.66,-2.92,3.7,194.65,0,220,-0.04,0,0,0.87,95224.04,0.02,0.0,-0.0
2020-01-01 07:00:00,-3.27,-3.26,3.45,-6.45,-2.86,3.45,200.31,0,220,0.06,0,0,0.89,95171.33,0.11,0.0,-0.0
2020-01-01 08:00:00,0.95,-1.19,3.89,-1.73,-0.28,3.89,200.33,68,222,43.83,458,24,0.79,95120.46,0.57,0.0,-0.0
2020-01-01 09:00:00,3.01,0.03,3.84,0.44,-0.49,3.84,199.98,217,227,161.13,657,56,0.71,95114.64,0.78,0.0,-0.0
2020-01-01 10:00:00,5.11,1.42,4.37,2.49,-0.21,4.37,198.89,352,231,282.21,782,70,0.6,94990.61,0.33,0.0,-0.0
2020-01-01 11:00:00,6.01,2.35,5.26,3.33,-0.78,5.26,197.04,446,235,373.59,858,73,0.55,94812.04,0.26,0.0,-0.0
2020-01-01 12:00:00,6.86,3.29,5.54,4.07,-0.99,5.54,199.47,480,243,405.18,874,75,0.5,94628.85,0.14,0.0,-0.0
2020-01-01 13:00:00,8.06,4.37,4.92,5.29,-0.48,4.92,209.12,455,245,384.16,867,72,0.47,94553.83,0.0,0.0,-0.0
2020-01-01 14:00:00,9.42,5.43,3.75,6.73,0.34,3.75,210.64,373,248,308.77,822,65,0.44,94527.53,0.0,0.0,-0.0
2020-01-01 15:00:00,7.12,4.5,2.15,4.87,-0.32,2.15,216.79,241,252,188.55,710,53,0.59,94514.8,0.01,0.0,-0.0
2020-01-01 16:00:00,4.56,3.27,2.28,2.34,0.86,2.28,248.58,88,254,58.46,485,30,0.71,94569.98,0.24,0.0,-0.0
2020-01-01 17:00:00,2.9,2.39,2.35,0.44,1.05,2.35,243.49,2,258,0.57,0,1,0.74,94574.25,0.31,0.0,-0.0
2020-01-01 18:00:00,2.0,1.86,2.86,-0.6,0.54,2.86,237.7,0,252,-0.04,0,0,0.75,94596.89,0.48,0.0,-0.0
